school_id,country,school_name,homepage_url,seed_kind,source
US00264,usa,Northwestern University Evanston,https://collegedunia.com/usa/college/1287-northwestern-university-evanston,school_homepage,base_265
US00265,usa,University Of Evansville Evansville,https://collegedunia.com/usa/university/1289-university-of-evansville-evansville,school_homepage,new_vs_265
US00266,usa,University Of Southern Indiana Evansville,https://collegedunia.com/usa/university/1290-university-of-southern-indiana-evansville,school_homepage,new_vs_265
US00267,usa,The College Of New Jersey Ewing Township,https://collegedunia.com/usa/university/1291-the-college-of-new-jersey-ewing-township,school_homepage,new_vs_265
US00268,usa,University Of Alaska Fairbanks,https://collegedunia.com/usa/university/1292-university-of-alaska-fairbanks,school_homepage,usa_master_923_backfill
US00269,usa,George Mason University Fairfax,https://collegedunia.com/usa/university/1293-george-mason-university-fairfax,school_homepage,base_265
US00270,usa,Sacred Heart University Fairfield,https://collegedunia.com/usa/university/1296-sacred-heart-university-fairfield,school_homepage,new_vs_265
US00271,usa,Fairfield University Fairfield,https://collegedunia.com/usa/university/1297-fairfield-university-fairfield,school_homepage,new_vs_265
US00272,usa,Maharishi University Of Management Fairfield,https://collegedunia.com/usa/university/1298-maharishi-university-of-management-fairfield,school_homepage,usa_master_923_backfill
US00273,usa,North Dakota State University Fargo,https://collegedunia.com/usa/university/1300-north-dakota-state-university-fargo,school_homepage,usa_master_923_backfill
US00274,usa,Longwood University Farmville,https://collegedunia.com/usa/university/1301-longwood-university-farmville,school_homepage,usa_master_923_backfill
US00275,usa,University Of Arkansas Fayetteville,https://collegedunia.com/usa/university/1302-university-of-arkansas-fayetteville,school_homepage,usa_master_923_backfill
US00276,usa,University Of Findlay Findlay,https://collegedunia.com/usa/university/1304-university-of-findlay-findlay,school_homepage,usa_master_923_backfill
